Sentence	ACCURACY MENTION?	comments	Normalized Ann1	Normalized Ann2	Consistent?	Decision		
Therefore, we decided to test this hypothesis by focusing on defined stages of these differentiation programs.	N			Y	FALSE	Y	testing	
The first and second hypotheses of this research are corroborated by the results given in Table 2.			Y	Y	TRUE	Y	 	
Thus, the hypothesis 4 is not found to be supported by the empirical evidences of the present study.			Y	Y	TRUE	Y	testing	
In the absence of an a priori hypothesis , we must be cautious in any inferences that we make.	N				TRUE			
Firstly, the index flood hypothesis requires that all gauges of a region are homogeneous.	N			Y	FALSE			
Experiments The next sections describe experimental models that investigate the hypotheses in this paper.	N			Y	FALSE	Y	testing	
Although several hypotheses have been proposed, the biological mechanism explaining this relationship is unknown.	N			Y	FALSE	 		
In addition, such a hypothesis would require the patient samples to have been tightly synchronized.	N			Y	FALSE	 		
Results show a different pattern than expected by the RQ hypothesis .			Y	Y	TRUE	Y	 	
We tested this hypothesis by performing flow cytometry on CHO cells expressing these recombinant proteins.		zakładam,że jeśli jest mowa o testowaniu, to  jest mowa o dokładności	Y	Y	TRUE	Y	testing	
Therefore, a total of 17 hypotheses need to be checked at each time.	N			Y	FALSE	 		
The difference between the log-likelihood functions under the null and alternative hypotheses are calculated.	N			Y	FALSE	 		
The study considers the following two hypotheses , 1.	N				TRUE			
The proposed study The proposed study of this paper considers three models to investigate 12 hypotheses .		zakładam,że jeśli jest mowa o testowaniu, to raczej jest mowa o dokładności	Y	Y	TRUE	 	maybe testing	
The results are in line with the hypothesis of an adaptation process among the long-term unemployed.			Y	Y	TRUE	Y		
An implication of this hypothesis is that depleting self-control could potentially increase or decrease trust.	N				TRUE			
In this study, we challenge this hypothesis by activating and inactivating individual dopamine pathways separately.	N			Y	FALSE	Y	testing	
Since the hypothesis is focused on the variety owner, the protection status of varieties is not considered.	N				TRUE			
Finally, we present several hypotheses regarding the nature of burning activity and fire prediction in the region.	N				TRUE			
However, not all evidence supports the hypothesis that exposure to sunlight could prevent the development of myopia.	N			Y	FALSE	Y		
However, theoretical approaches and computational simulations provide logically descriptive tools for dynamic systems to develop working hypotheses .	N				TRUE			
Discrepancies between the in vivo and in vitro transcription elongation rates may indirectly support this hypothesis .			Y	Y	TRUE	 	indirect support is too vague	
Several hypotheses were made on those factors to satisfy the basic conspicuity in the scenarios.	?		?		FALSE	 		
One hypothesis depicted in the literature implies the catabolism of heme inside the erythrophagosome.	N				TRUE			
Testing was conducted by experimenters who were blind to the hypotheses tested.			Y		FALSE	Y	testing	
Together these data lead to the intuitive hypothesis that people avoid disliked others or others who have recently behaved badly.	N				TRUE			
The presented method can be used to derive the asymptotic confidence interval and hypothesis testing for the ratio of population proportions.	?		?		FALSE			
This hypothesis proposes the necessity of microscopic evaluation of adipose tissue and collagen fibers present in the orbit of these animals.			Y		FALSE			
From these technical characteristics of a haptic device hypotheses can be drafted about the nature of perceptual effects of temporal delays.	N				TRUE			
CONCLUSION The cause of vitiligo remains unknown though familial predispositions being one of the proposed hypotheses for the etiology.	N			Y	FALSE			
Finally, the hypothesis of activation of chemokines by endoscopic maneuvers as a cause of acute pancreatitis will be described.	N			Y	FALSE			
Yet the control of the temperature–size rule remains enigmatic, and the hypotheses proposed have been inconclusive.	N			Y	FALSE		too vague	
There are several hypotheses to explain how tissue patterning is integrated with whole-body development under different environmental and physiological conditions.	N				TRUE			
These phenotypes are compatible with the hypothesis that FGFR3 mutation contributes early in the process of tumour development.	N			Y	FALSE	Y		
We are working on a Bayesian framework and are estimating posterior probabilities; we are not conducting hypothesis tests.	N			Y	FALSE	 		
Hypothesis testing (convergent and discriminant validity).			Y	Y	TRUE	 		
Abstract: This hypothesis proposes a new prospective approach to slow the aging process in older humans.	N				TRUE			
Equation (4) rests on the assumption that the module expansion steps are independent under the null hypothesis .	N				TRUE			
With education as a proxy we use meta-analyses and qualitative analyses to review the evidence for the CR hypothesis .	?		?	Y	FALSE	Y	evidence review	
This hypothesis is borne out by the behaviour of explants exposed to both Wnt3a and Wnt5a.	N			Y	FALSE	Y	 	
This finding strengthens the hypothesis of non-uniform exposure to MAP in dairy herds.	N			Y	FALSE	Y	 	
Quantitative linking hypotheses , then, must be capable of dealing with multiple interacting components.	N			?	FALSE			
A null hypothesis ( hypothesis of unknown object) is additionally attached to each segment.	N				TRUE			
Assume the same hypotheses of Theorem 3.3.	N				TRUE			
Therefore, we conclude that the neutral mutation hypothesis explains the DNA sequence variation obtained in this study.		zakładam, że jeśli hipoteza wyjaśnia, to jest dokładna	Y	Y	TRUE	Y		
Research is also beginning to support the hypothesis that mind-body interventions may improve academic performance.	N			Y	FALSE	Y		
At best, the next section illuminates the validity of the suggested hypotheses .		zakładam, że jeśli hipoteza wyjaśnia, to jest dokładna	Y	Y	TRUE	Y		
Here, we put forward a series of hypotheses about the detonation wave.	N				TRUE			
The new myzopodids from Egypt lend even more support to this hypothesis .			Y	Y	TRUE	Y		
The genetic evaluation stressed the clinical diagnostic hypothesis of Ehlers-Danlos syndrome.	N			?	FALSE			
Though the mechanism of origin of shivering is not clear, various hypotheses have been proposed to explain its occurrence.	N			Y	FALSE			
We thereby tested the hypothesis that learning can induce reversible plasticity at memory-encoding synapses in the lateral amygdala after consolidation.	N	? czy test pociąg		Y	FALSE	Y	testing	
The hypothesis is still available considering the fact that local and national elections don''t take place at the same time.	N			Y	FALSE			
Therefore, the null hypothesis is rejected and the modified set of heuristics is significantly effective in facilitating the problem identification.	N			Y	FALSE			
This indicated to be a trait of high heritability, indicating the hypothesis of one gene or few genes of resistance.	N			Y	FALSE	Y		
The results have not supported the hypothesis of a significant effect of vocational orientation upon the accuracy of intensity ratings of emotion.			Y	Y	TRUE	Y		
The test relies on the generation of time series resampled from the original time series and being consistent with the null hypothesis .			Y	Y	TRUE	Y	testing	
The latter hypothesis is supported by a decrease of purchase of chemical N fertilizer in Germany in 2009 and 2010.			Y	Y	TRUE	Y		
A sample experiment follows, showing how EEVEE can be used to test specific hypotheses regarding pain and empathy.			Y	Y	TRUE	Y		
These findings combined with the expression study results corroborate our hypothesis that AQP5 expression promotes cell proliferation in CML.			Y	Y	TRUE	Y		
These hypotheses map an initial support window volume tumor in both orthogonal X-ray image pairs by simple 3D2D projection.	N				 	 		
With the isolation of a high-fidelity poliovirus, we were in a unique position to address this hypothesis .	N			Y	FALSE	 		
Design parameters of studies testing the EICA hypothesis .	N			Y	FALSE	 		
We do not fully understand the mechanism behind decreased serum total OC; however, we have two hypotheses .	N			Y	FALSE	 		
Sub hypothesis 2: There is a significant relationship between self-management and innovative work behavior of managers.			Y		FALSE	 		
CONCLUSION The arguments presented in this study provides very sound basis to conclude that the Riemann Hypothesis is true.			Y	Y	TRUE	Y		
Step 3: Apply a threshold, to the absolute difference to get the binary moving objects hypothesis mask.	N				TRUE			
In the first step, the KruskalWallis test is used to test the set hypothesis .			Y	Y	TRUE	Y		
Panel D: The distribution under the null hypothesis of the number of consecutive bins.	N				TRUE			
Thus, 610 constraint tree topologies ( hypotheses ) were generated.	N				TRUE			
Hypothesis Testing Following parameter estimation, several hypotheses should be tested.	N			Y	FALSE	 		
Because a duplex of 115 km is mechanically unrealistic, hypothesis (i) is discarded.			Y	Y	TRUE	Y		
RESULTS Main hypothesis : There is a significant relationship between organizational culture and internal cohesion.	N			Y	FALSE	 		
These findings support the hypothesis that GAD65-reactive B lymphocytes are essential in disease development.			Y	Y	TRUE	Y		
Because hypothesis A1 deals with unobservable events, its direct confirmation may prove elusive.	N			Y	FALSE	 		
This performance, reflected in the dendrograms, is expected under the null hypothesis .			Y	Y	TRUE	Y		
This idea, termed the supramodal hypothesis , can be explained in three parts.	N				TRUE			
Thus, we have confirmed this hypothesis by detecting NTM1 antibodies in newborn babies.			Y	Y	TRUE	Y		
We used Chi-Square to test three hypotheses of this survey. 3.			Y	Y	TRUE	Y	testing	
A second hypothesis is that the benefits of trialling arise from being owned by handlers with greater training knowledge or experience.	N				TRUE			
Front flipper stroke rate was independent of water speed refuting the hypothesis that swimming speed is increased by increasing stroke rate.			Y	Y	TRUE	Y		
Because of that, our study borns from the hypothesis that mechanical properties of shell can be measured by this method.	N			Y	FALSE	 	ungrammatical	
If this is combined with the high loadings of somatic symptoms, we found clear evidence against a simple somatization hypothesis .			Y	Y	TRUE	Y		
The ideas of stagewise testing is furthermore applicable outside medical genetics, whenever a large number of complex hypotheses are tested.	N			Y	FALSE	 		
Hypothesis testing rejects the monophyly of ''monoraphid'' diatoms.			Y	Y	TRUE	Y		
Table 4a provides the results of the fourth hypothesis stating that the ISO certified firms export more than non-certified firms.	?		?	Y	FALSE	 		
An alternative hypothesis is that the difference between northern and northwestern China reflects natural geographic variation in susceptibility to Cry1Ac.	N				TRUE			
Testing the efficiency of Croatian stock market resulted in the rejection of semi-strong and strong version of efficient market hypothesis .			Y	Y	TRUE	Y		
These analyses results support our hypothesis that the cross-correlation method requires an implicit assumption that may be violated in simulation data sets.			Y	Y	TRUE	Y		
In some situations a variety of hypotheses can be used, while in others performance requires the use of a specific hypothesis.	N				TRUE			
Kolmogorov-Smirnov test was used to investigate if the data is normal and Wilcoxon test was used to determine the significance of hypotheses .	N			Y	FALSE	 		
Therefore it challenges the hypothesis that activation in this network indicates some sort of simulation of the other''s actual emotional experience.			Y	Y	TRUE	?	unclear what kind of challange is meant; perhaps one having nothing to do with accuracy	
The authors referred to these results as a support for the perceptual-attentional hypothesis with regards to the Duchenne marker.			Y	Y	TRUE	Y		
Our results suggested a protective role of the Arg188His polymorphism, which was apparently paradoxical to the presumable hypothesis .			Y	Y	TRUE	Y		
Thus, contrary to our hypothesis , host shutoff appears largely dispensable for acute replication of gammaherpesviruses in vivo.			Y	Y	TRUE	Y		
These data are consistent with the MMP hypothesis and explain how minocycline suppresses defects in animal models of FXS.			Y	Y	TRUE	Y		
The main hypothesis in medical studies is that the two samples (m and n) belong to the same population.	N				TRUE			
The proliferation of bacteria in the intestinal lumen of aging C. elegans suggests two opposing hypotheses regarding innate immune function.			Y	?	FALSE	 		
The tested hypothesis was that in adult French population socio-demographic and individual factors were associated with the need for dental care.			Y		FALSE	 		
Between the observations the uncertainty about the function value grows and the sampled functions represent valid hypothesis about f under the posterior process.	?		?	Y	FALSE	 		
The growth laws are uniquely defined under the hypothesis that microorganisms allocate resources in such a way as to maximize their growth rate.	N				TRUE			
The efficiency of one market is based on the hypothesis regarding the buyers and sellers behavior and on the characteristics of proceeded products.	N				TRUE			
In iris recognition the null hypothesis is specified by the WD range between 0.0 and 0.2 for the genuine subject.	N				TRUE			
This approach, outlined below under hypothesis 1, is made possible by combining Bayesian probability theory with biophysics.	N				TRUE			
We tested the hypothesis that RV6-26 reduces viral replication by inhibiting the efficiency of transcription by DLPs.	?		?	Y	FALSE	Y	testing	
To test this hypothesis , –1195 G.	?		?	Y	FALSE	 		
Original research, reviews, symposium reports, hypothesis formation and commentaries are all considered for publication.	N				TRUE			
The first hypothesis for the association between tinnitus and TMD was described by Costen8, in 1934.	N				TRUE			
We are currently investigating the CXCR7 promoter that is active in EBV-LCLs to test this hypothesis .			Y	Y	TRUE	Y	testing	
Hypotheses H1: There''s a positive relationship between job satisfaction and affective organizational commitment.	N			Y	FALSE	 		
Unfortunately, we did not have any ancestry-informative SNPs that could verify this hypothesis .			Y	Y	TRUE	 	untestability more like	
The path coefficient of Hypothesis 2 is 0.25 and the t value is 3.136.	N			?	FALSE	 		
The author elaborates the hypothesis that this predominant positivist and quantitative approach does not sufficiently account for the multidimensional character of poverty.			Y	Y	TRUE	 		
The main objective of the clinical trial was to test the hypothesis that treatment with decitabine would resensitize ovarian tumors to carboplatin.	?		?	Y	FALSE	Y	testing	
Consistent with this hypothesis , fus3Δ caused increased bud elongation in mih1Δ and the double mutant exhibited defects in cell growth.			Y	Y	TRUE	Y		
Our results concerning mothers'' reactions to separation from chicks support this hypothesis as elder females were more unsettled by this separation.			Y	Y	TRUE	Y		
The data can be interpreted as initial evidence which supports the hypothesis that an adverse maternal environment may exacerbate PKD cystogenesis.			Y	Y	TRUE	Y		
Herein we evaluated the polycation-p hypothesis via functional and theoretical interrogation of EAD variants.			Y	Y	TRUE	Y	testing	
A potential implication of this hypothesis is that processing of information during sleep would differ between people with PI and healthy sleepers.	N			Y	FALSE	 		
However, this effect would support the hand disownership hypothesis revealing at least partially the mechanism of cold-related discomfort reduction.			Y	Y	TRUE	Y		
These evidences raise the hypothesis that ST6GALNAC5 has been indirectly selected in GYR via percentage of fat in the milk.			Y	Y	TRUE	 		
Our results also reconceptualize the traditional Pleistocene refugia hypothesis , and offer a novel framework for future research into the area.	N				TRUE			
These findings were only found in the unilateral hemisphere, though we did not have a hypothesis for these fibers'' abnormalities.	N				TRUE			
The ultrastructural features of Leydig cells support the hypothesis that the alterations in cellular steroidogenesis are associated with Leydig cell morphology.			Y	Y	TRUE	Y		
Conclusion Based on the analyses of the results of experiment, we accept our first working hypothesis and reject the second hypothesis .			Y	Y	TRUE	Y		
This complex interaction was reflected by varying values for C ∗ throughout the year, which is in accordance with our hypothesis .			Y	Y	TRUE	Y		
In order to examine the validity of this hypothesis , we performed a search for any similar events in the MLS record.	N			Y	FALSE	Y	testing	
Another possible hypothesis is the type IV hypersensitivity reaction which has been proven by the presence of cytotoxic T-cells in the lesions.			Y	Y	TRUE	Y		
DECISION: From the table above, the decision is to accept the alternative hypothesis and reject the null hypothesis .	N			Y	FALSE	 	unclear what is meant	
This hypothesis is consistent with these genes encoding transcription factors that act in combination with other factors to influence a variety of target genes.			Y	Y	TRUE	Y		
These hypotheses are not mutually exclusive.	N				TRUE			
Our results also support two hypotheses .		o ile to wspierania polega na zgodności z obserwacjami	Y	Y	TRUE	Y		
More importantly, older adults exhibited more object-oriented viewing in the intentional than incidental condition, supporting the environmental support hypothesis .			Y	Y	TRUE	Y		
Despite the existence of false negatives in the drug-target network, the TB-drugome has generated abundant testable hypotheses .	N				TRUE			
This supports the hypothesis that the Sha allele at the GSL.	?		?	Y	FALSE	Y		
Working Hypothesis Our hypothesis H1 is that legal form influences a company''s decision to start the internationalisation process.	N				TRUE			
This hypothesis is indirectly supported by a recent field study by Denkenberger et al. (2007).	N			Y	FALSE	Y		
Regarding the hypothesis of metabolic stability, Platt''s rigorous logic provides a framework for disproof and for establishing and testing alternatives.	N			Y	FALSE			
If subordinates and dominants are only distantly related or unrelated, several mutually non-exclusive alternative hypotheses attempt to explain helping behaviour.	N			?	FALSE			
Additional cladogenetic events of note support the hypothesis that the Pleistocene played a significant role in the population fragmentation across Aphonopelma.			Y	Y	TRUE	Y		
Trade-off hypothesis Both survival analyses yielded highly comparable results (probabilities ± SE).	N			?	FALSE			
It follows that tests of marker-specific hypotheses utilizing such a low prior probability regardless of the number of markers evaluated should be employed.	N				TRUE			
Our preliminary hypothesis therefore is that administrative capacities created during the accession period determine a generally positive track record in the post-accession phase.	N			Y	FALSE			
When the decision point is detected, the Viterbi decoder will evaluate the most probable hypothesis and generate the resulted identified models.	N			Y	FALSE			
Here, we therefore tested the hypothesis that ACC may also support selective listening in complex auditory settings such as multitalker environments.	N			Y	FALSE	Y	testing	
Multiple Regression Analysis and Independent samples t-test in SPSS 16 has been used for testing the hypotheses .	N			Y	FALSE			
In this hypothesis , IFN-l would only play the role of a back-up system.	N				TRUE			
Hypothesis 1: The performance of small and medium industries (SMEs) influence by internal environment analysis.	N				TRUE			
Based on this paper''s research and in accordance with the described methodology in Section 3, the stated hypotheses are confirmed.	N			Y	FALSE	Y		
The present analyses support the hypothesis that frontally-mediated, age-related changes in controlled processing impact thought recurrence and thought suppression difficulty.	?		?	Y	FALSE	Y		
Hence, the DMH-PAG hypothesis cannot explain the effect of PVH lesions.			Y	Y	TRUE	Y		
To confirm this hypothesis , a sensitive medium was required and this tool is not available yet to isolate Et from corn seeds.	N			Y	FALSE			
Therefore, hypothesis 3 is accepted.	N			Y	FALSE			
Generally, this hypothesis was confirmed.	N			Y	FALSE	Y		
In statistics, null distribution is the distribution when the null hypothesis that the ranking method is no better than random ranking is true.	N			Y	FALSE	FALSE		
Our hypothesis is that neutralizing antibodies can only completely inactivate a small number of infectious primary HIV-1 doses both in vitro and in vivo.	N				TRUE			
This has led to the hypothesis that the DV capsid protein may play a role in mediating HMGB1 release in K562 cells.	N				TRUE			
According to Section A, the differences between spherical hypothesis parameter sets were evaluated in light of hypothesis center points and radii.	N			Y	FALSE	FALSE		
The accounting and finance literature suggests the random walk hypothesis , i.e. the importance of a random walk model for time-series changes.	N				TRUE			
Our results using bee-pollinated C. sheareri inflorescences support the three hypotheses .			Y	Y	TRUE	Y		
Conclusion: Results supported the hypothesis that psychiatric diagnoses have a synergistic effect on adolescents'' ability to successfully manage T1D.			Y	Y	TRUE	Y		
A model (hypothesis) that performs consistently better than another model (hypothesis) is most likely a better hypothesis .	N			Y	FALSE			
Such a result underpins the hypothesis that PssP2 may function at the connection between EPS unit assembly and its polymerization and transport.			Y	Y	TRUE	Y		
However, our research similar to some other studies (21, 35, 36) have suspected this hypothesis .	N			Y	FALSE	?	I suspect the word used was SUPPORTED rather than SUSPECTED	
The second hypothesis states that multiple depressive episodes further deteriorate cognitive impairment ( Sweeney et al., 2000 ).	N				TRUE			
Moreover, even when the JB does reject the null hypothesis of normality, according to Greta M.	N			Y	FALSE			
The p-value based on Zelen''s test for the null hypothesis that all trials had a common odds ratio test was 0.735.	N			Y	FALSE			
Figures 2 and 3 point to dozens of experimentally testable hypotheses that, we hope, the reader would be tempted to examine.	N			Y	FALSE			
We corroborated our hypothesis that an oceanographic model describing metapopulation dynamics of larval dispersal in the GC can help to explain empirical genetic patterns.			Y	Y	TRUE	Y		
Testing of such a hypothesis demands a better understanding of post-flowering N uptake in wheat and its regulation by plant N status.	N			Y	FALSE			
Discussion The hypothesis that spiders and ants exert a positive and complementary effect on the reproduction of E. gracilipes was confirmed.			Y	Y	TRUE	Y		
We tested the hypothesis that fine-scale genetic structure arises during the colonization of new locations in Florida by H. mabouia.	N			Y	FALSE	Y	testing	
We therefore hypothesize: Hypothesis 3.	N				TRUE			
Since the AIC is a measure of information loss, the preferred phylogenetic hypothesis will be the one with the lowest AIC value.	N			Y	FALSE			
Nevertheless, a larger number of patients with this same mutation and with a detailed clinical evaluation is needed in order to corroborate this hypothesis .		zakładam, że koroboracja pociąga zwiększanie dokładności	Y	Y	TRUE			
This result also supports our hypothesis that tetherin plays a role in synapses and that Vpu might represent a modulator of synapse involvement via tetherin.			Y	Y	TRUE	Y		
Discussion The aim of this study was to test the hypothesis that phospholipids play an important role for the interaction of cells with growth substrate.			Y	Y	TRUE	Y	testing	
Hypothesis C3 As hypothesis C1, but release rate depends linearly on the difference between normal and anaemic RBC concentrations.	N			?	FALSE			
This agreement supports the hypothesis that the unstable wave traps electrons and ions, leading to the alternating train of slow-moving phasespace holes.	N			Y	FALSE	Y		
Testing the predictions arising from these hypotheses represents a major challenge because human languages are generally too derived to address the pressures selecting for their emergence.	N			Y	FALSE	 		
It is also apparent on the basis of hypothesis 4 that a positive assessment of the subjective influencing factors correlates positively with the degree of motivation.		jeśli stopień motywacji jest mierzony	Y	Y	TRUE	 		
UV fluorescence associated with these laminae supports our hypothesis , which suggests the presence of organic compounds (Fig. S4).			Y	Y	TRUE	Y		
A first hypothesis is that the company would offer a wide range of products for all categories of customers at a lower price than its competitors.	N				TRUE			
In support of this hypothesis , we show that R. bellii exhibits sexual pili and is able to survive in amoebae.			Y	Y	TRUE	Y		
However the null hypothesis that GLS estimates are consistent under Hausman test is also rejected indicating random effect may be correlated with the regressors.	N			Y	FALSE	 		
A commercial temperature sensor (LM35) was used to detect temperature fluctuations of a pipe in this research and assess the hypothesis .			Y	Y	TRUE	Y	testing	
We tested the predictions of competition and prey defense hypotheses on body size, wing morphology and echolocation characteristics (see above).			Y	Y	TRUE	Y	testing	
N addition altered the relative intensity of ammonification and nitrification of indigenous N and total N, as expected in the third hypothesis .			Y	Y	TRUE	Y		
Hypothesis 4b The bigger the size of the initial founding capital, the more likely it is entrepreneurs will engage in emotion-based coping.	N				TRUE			
To obtain data in support this hypothesis , we measured Cidea expression in the mammary gland of hNAG-1 mice on L2.			Y	Y	TRUE	Y	testing	
Presently, the best thing to do is probably to make the hypothesis that ICW are right-handed polarized or left-handed polarized.	N				TRUE			
Abstract The paper work is based on the hypothesis that the financial analysis is insufficient when it comes to reflecting the performance of nonprofit organizations.			Y		FALSE	 		
To test our hypotheses , we performed two large case-control association analyses of individuals from the German MI Family Study.			Y	Y	TRUE	Y	testing	
This hypothesis is supported by the similarities between the statistics of relative and absolute HTs (thick lines on Fig. 4).			Y	Y	TRUE	Y		
All authors have contributed to the idea and hypothesis development, method development, analyses, interpretation of the results and writing the manuscript.	N			Y	FALSE	 		
In this review, the hypothesis that multiple TB exposure can lead to induction of Th2 responses contributing to active disease will be examined.	N			Y	FALSE	 		
In spite of the various hypotheses in processing and perception of emotional words, most studies support the right hemisphere hypothesis (3).			Y	Y	TRUE	Y		
At least 65% of species tested selected sounds from preferred habitats, validating the hypothesis that sound is used to select their settlement sites.			Y	Y	TRUE	Y		
On the one hand, this result corroborates our hypothesis that lipid raft dependent, autocrine WNT signaling induces the continuous β-catenin activation.			Y	Y	TRUE	Y		
The hypothesis , posted by cor. m. of ASM, C.	N				TRUE			
Finally, several studies supported the hypothesis that the dorsal striatum is involved in the development of addictive habits in smokers and reacts to smoking cues.	N			Y	FALSE	Y		
This finding further confirms the hypothesis that patients with CAG repeats less than 49 could be more vulnerable to the sensory neuron or sensory axon impairment.			Y	Y	TRUE	Y		
For the cryptographic computing, we want to proof our hypothesis that executing in the bare metal is faster than executes in the generic operating system.	N			Y	FALSE	Y	testing	
The prehistory of hypothesis of uncertain future is presented in Heisenberg''s (1927) seminal article about uncertainty principle and in subsequent works.	N				TRUE			
Some studies have also suggested that HIV is a risk factor for the development of ALCL, but this hypothesis is not clear yet.	N			Y	FALSE	 		
Design-based F tests, uncorrected for multiple hypotheses testing, were conducted to assess the presence of binary relationships between predictor and outcome variables.		test implies some accuracy	Y	Y	TRUE	 		
Here we carry out a comprehensive, genome-wide study on the origins of ORFans to quantify the strength of current evidence supporting this hypothesis .			Y	Y	TRUE	Y	testing	
The experimental results support our hypothesis as we found only in very few cases evidence for online correction in the recorded arm movement trajectories and velocity profiles.			Y	Y	TRUE	Y		
One prominent hypothesis is that vision in the periphery is primarily a spatially, temporally, and photometrically scaled version of vision in the fovea.	N				TRUE			
However, reductionistic models are extremely useful for gaining understanding and testing viability of hypotheses – in short, by "experimentation".			Y	Y	TRUE	 		
The primary aim of our study was to test the hypothesis that elevated serum S100β levels are associated with longer delirium duration in critically ill patients.			Y	Y	TRUE	Y	testing	
To test the hypothesis that humans actively control the equilibrium point to dampen hand vibrations, we compared the results of the simulation and measurement experiments.			Y	Y	TRUE	Y	testing	
At the outset, specific hypotheses were offered with regard to the regulatory focus orientation that might provide the best fit with each type of counterfactual.			Y	?	FALSE	 		
The rejection of these hypotheses signifies that there is a dependency relationship between the reporting standard and the Balance Sheet and Income Statement chosen.	N			Y	FALSE	 		
Therefore, further investigations with a broad spectrum of species, as well as studies with different methods, are necessary to confirm this hypothesis .			Y	Y	TRUE	 		
In support of this hypothesis is the fact that BBB damage after acute head trauma is a well-known pathologic finding in both animal and human studies.			Y	Y	TRUE	Y		
The overall goal defines the purpose of the proposal and must be attainable regardless of how the hypothesis tests. • What specifically will be done?	N			Y	FALSE	 		
If this hypothesis is supported, it may present one more shred of empirical evidence of the persistent social discrimination experienced by Indian widows today.	?		?	Y	FALSE	 		
The R-R intervals were calculated with BIOPAC software and then corrected with a visual examination by an experimenter who was blinded to the experimental hypotheses .	N			Y	FALSE	 		
