filename	ind1	ind2	sample	evaluation 1	evaluation 2	agreement	superannotator
http://www.jstor.org/stable/23616169	4	13	Particularly in regard to the looming energy dispute between Russia and Ukraine, and several eastern EU neighbours demanding closer approximation to the EU, the EC expressed its full support for the Czech EU Presidency programme.5Thus, with imminent action to be taken within these policy areas, and with the Presidency imposing an unparalleled claim to human resources and expertise, these case stud ies are fit to test the above-stated hypothesis.		N	FALSE	N
http://www.jstor.org/stable/23771401	2	2	To find the simplest equation we use for water acceleration (SI Appendix, Materials viable model of the hypothesis, we fit the ELAM model using and Methods, Perceived Change in Flow Field Experience).		N	FALSE	N
http://www.jstor.org/stable/2226750	1	16	In a sense it seemed to fit the hypothesis.		?	FALSE	?
http://www.jstor.org/stable/20111835	12	9	(3) V ^dd Under the null hypothesis of equal forecasting accuracy, MSE!"	?	N	FALSE	N
http://www.jstor.org/stable/24891483	5	2	Thus, our response variables to test the posites, matching the periods in which birds were previous hypothesis comprised (1) trip duration, (2) tracked.	?	N	FALSE	N
http://www.jstor.org/stable/23317771	9	9	To verify this hypothesis, figure 6 uses the new data to fit model 3.		N	FALSE	N
http://www.jstor.org/stable/24902972	28	2	Consequently, there exist constants ? and Rq, independent of L, such that Under the nondegeneracy hypothesis (H4), the asymptotic behavior of u can be accurately described as exponentially close to the one dimensional heteroclinic solution ? at infinity along X2-axis.		?	FALSE	
http://www.jstor.org/stable/44461641	11	4	Without an accurate time-re- cording sesthesiometer, indeed if with it, this hypothesis cannot be proved, but it is certainly upheld by the clini- cal evidence in observing large numbers of deaf persons.			TRUE	
http://www.jstor.org/stable/2890280	0	6	In her autobiography, Rita Levi-Montalcini tells of the discov- ery of nerve growth factor and refers to "the law of disregard of negative information ... facts that fit into a preconceived hypothesis attract attention, are singled out, and remembered.	N		FALSE	
http://www.jstor.org/stable/41242168	1	6	test this hypothesis by fitting an age-structured epidemiological model to a detailed database on age-structured clinical cases of pertussis in Massachusetts from 1998 to 2008.			TRUE	
http://www.jstor.org/stable/2482858	6	7	In the genus Manihot, some of the species related to M. esculenta seem to fit the hypothesis nicely.			TRUE	
http://www.jstor.org/stable/4106691	29	8	But trying out the deductive consequences of a hypothesis, and seeing how these would fit in with what one independently believes, is quite compatible with heartily disbelieving the hypothesis.	N		FALSE	
http://www.jstor.org/stable/2633100	9	9	Choice Patterns over Time: Optimal versus Actual Choice We finally turn to a direct test of Hi, the ability of op- timal sampling theory to describe the actual sequences 6 A hypothesis of probability matching would predict that, on each trial, subjects would choose either the familiar or unfamiliar airline with a probability equal to the expected on-time departure rates of each airline.		N	FALSE	N
http://www.jstor.org/stable/2336248	0	5	Some key words: Composite hypothesis; Correlation statistic; Exponential distribution; Goodness of fit; Random censorship.	N	N	TRUE	
http://www.jstor.org/stable/4355798	2	2	and Fml takes on the value Fml, where Tml = (n~l)irML is distributed, under the null hypothesis, as an asymptotic goodness- of-fit ?2 variate with (p - q) degrees of freedom, where p = p(p+ l)/2.	?	N	FALSE	N
http://www.jstor.org/stable/259328	20	4	The rest of the sample can then be used to test the fit hypothesis.		N	FALSE	N
http://www.jstor.org/stable/3449011	4	19	The detailed data available on tiger snake diets strongly support the prey-size hypothesis with a perfect matching between predator and prey size (Schwaner 1985; Shine 1987; Schwaner and Sarre 1988, 1990).			TRUE	
http://www.jstor.org/stable/1132203	22	22	Interaction of cogni- tive appraisals of stressful events and coping: Testing the goodness of fit hypothesis.	?	N	FALSE	N
http://www.jstor.org/stable/23014276	13	26	The Table 14 Hypothesis 2: Match and Performance Non Matching Matching n = 63 n = 17 Performance Measures Mean S.D.	N	N	TRUE	
http://www.jstor.org/stable/2643980	11	14	One such weakness is the tendency to look for evidence that happens to fit a particular hypothesis or theoretical framework, and upon finding it to stop and write up the results instead of going on to ask"			TRUE	
http://www.jstor.org/stable/23813247	9	3	Therefore, in finite samples it might well be the case that the null hypothesis of equal forecast accuracy is rejected on average (assuming structural stabi lity) but not locally (dropping the assumption of structural stability).	?	N	FALSE	N
http://www.jstor.org/stable/10.1086/657557	0	343	We also test here the effect of motivation for accuracy (hypothesis 8).	N	N	TRUE	
http://www.jstor.org/stable/41922224	11	34	In line with Hypothesis H3 , product evaluations are more positive in the fit condition than in the nonfit condition (Mflt= 4.88, Afnonfit= 4.18, F(l, 2878) = 163.77, p <.001, 77 = .088).		N	FALSE	N
http://www.jstor.org/stable/23883938	6	8	Thus it appears that the finite sample inaccuracy of It is interesting to ask why it is that this test is less the non-bootstrapped Tauchen version of the Pearson test is accurate than the Pearson test for the simple hypothesis due primarily to the use of the OPG estimate of C. The true (Table I).	N	N	TRUE	
http://www.jstor.org/stable/25092925	22	36	The effects of media and task on user performance: A test of the task-media fit hypothesis.	?	N	FALSE	N
http://www.jstor.org/stable/43695615	30	27	While this would accurately describe what happens in Standard French, this hypothesis would fail to account for the fact that in Canadian French, polar questions involving the use of the overt interrogative marker -tu (also -ti in some dialects) do cooccur with oui ou non , even though -tu seems to not involve the C field, at least not directly (see (v)).			TRUE	
http://www.jstor.org/stable/1466813	11	7	In this study, accuracy refers to the inclusion of a single accurate diagnostic hypothesis** among the set of hypotheses that the participant was consid- ering.	N		FALSE	
http://www.jstor.org/stable/10.1641/0006-3568(2004)054[0731:pnloer]2.0.co;2	0	282	Finally, researchers must find ways to rigorously test the PNL hypothesis in order to accurately inform models that predict future global C stocks.			TRUE	
http://www.jstor.org/stable/3072252	0	17	In contrast, the resource matching hypothesis provides a mechanistic explanation, proposing that the fluctuation of flowering effort in each year merely reflects the available resources, which will vary with environ- mental conditions such as temperature and precipitation (Biisgen & Munch 1929).	?	N	FALSE	N
http://www.jstor.org/stable/20441236	9	13	Here we briefly discuss how previous results change when /3 and o are left unspecified and, in general, when we are facing a goodness-of-fit problem for a composite hypothesis.	?	N	FALSE	N
http://www.jstor.org/stable/1941275	8	24	Thus, if the hypothesis of goodness of fit is not rejected by the chi-square test, one can be fairly confident that Ho would also not be rejected using the true distribution of the test statistic.	N	N	TRUE	
http://www.jstor.org/stable/40927752	4	26	Thus, the hypothesis that increasing reporting periods would yield less accurate RRs was not supported.	?	?	TRUE	
http://www.jstor.org/stable/43826844	9	88	Testing the resource-matching hypothesis in the mast seeding tree Nothofagus truncata (Fagaceae).		N	FALSE	N
http://www.jstor.org/stable/3598400	16	4	Applied within the context of equation 3, this hypothesis does fit the data (line 5 of Table 4), but it does not provide a significant improvement in fit over hypothesis 3 (p=.35, line 10 of Table 4).		N	FALSE	
http://www.jstor.org/stable/4496061	1	22	We investigate this hypothesis by using quantile regression to fit an upper boundary curve to the size-growth distribution (Thomson et al.		N	FALSE	N
http://www.jstor.org/stable/27522884	31	9	This hypothesis does not fit the data either.		?	FALSE	
http://www.jstor.org/stable/3060995	2	37	To test the hypothesis that any departure from the habitat-matching rule is ex- plained by the wind park, we computed the proportion of birds and the proportion of food associated with each zone and performed a regression analysis (model I) separately for morning and afternoon counts.		N	FALSE	N
http://www.jstor.org/stable/40066608	1	9	"5 It would have seemed odd if Faulkner had opposed any other character in the novel to Flem: Will, or Jody, or Eula, or even- notwithstanding Florence Leaver's contention that she tops the moral hierarchy of the book- Mrs. Littlejohn.6 Given this hypothesis, an accurate interpretation of the struggle between Flem and Ratliff, and particularly of the treasure hunt, is crucial to an understanding of the novel's world view.	?		FALSE	N lub ?
http://www.jstor.org/stable/4535571	2	5	see Stamps, 1983, 1995; Hedrick & Temeles, 1989; Shine, 1989), recent field data indicate that the intersexual differences of A. carolinensis best fit the predictions of the sexual selec- tion hypothesis (Ruby, 1984; Jenssen et al., 1995a; Nunez et al., 1997).			TRUE	
http://www.jstor.org/stable/3448876	7	44	The possibility, suggested by the evidence from Tajima's and Fu's tests and from the mis- match distribution, that Tripneustes populations have been recently expanding, would fit this hypothesis.			TRUE	
http://www.jstor.org/stable/30219595	2	31	Under this hypothesis the bidder is able to accurately judge the value of the combined firm and withdraws from the merger when the merger will no longer create additional value for the bidder's shareholders.	N	N	TRUE	
http://www.jstor.org/stable/40647975	0	1	We address self-selection into organic farming by using propensity score matching and explic- itly test the hypothesis that organic and conventional farms employ a single, homogeneous technology.	?	N	FALSE	N
http://www.jstor.org/stable/24026142	239	5	Evaluation of five discrimination procedures for binary variables Dan H. Moore, II Goodness-of-**fit tests for large sparse multinomial distributions Daniel Zelterman Hypothesis* testing incorporating a preliminary test of significance Barry C. Arnold J. Byrne; Steven F. Arnold Inference about multivariate means for a nonstationary autoregressive model Philip Oosterhoff; B. F. Schriever The number of classes in chi-squared goodness-of-fit tests W. C. M. Kallenberg; J.	N	N	TRUE	
http://www.jstor.org/stable/43660949	9	13	To determine whether the models specified in the hypothesis tests yielded a significant improvement in fit over the unconditional random effects model, the signif- icance of the change in fit of each model was calculated (Vuong 1989).	?	N	FALSE	N
http://www.jstor.org/stable/2335347	0	11	The goodness-of-fit test consists of testing the hypothesis Ho: y, = ... =k = 0 The test will be based on the efficient scores test (Rao, 1973, p. 418) T = X' V-X, (2.2) where X' is the k-dimensional vector (al/ay1, ..., al/lyk) and where I denotes the log likelihood.		N	FALSE	N
http://www.jstor.org/stable/jeductechsoci.19.4.112	10	15	In decision level fusion, each classifier operating under a binary hypothesis, pertained a threshold on the match score and renders its decision regarding the presence (= 1) or absence (= 0) of an authentic emotion.	?	N	FALSE	N
http://www.jstor.org/stable/24704681	6	13	So contrary to Pritchard's 'snug fit' hypothesis, it seems that we can either have knowing Otto or extended Otto, but not both.	N	N	TRUE	
http://www.jstor.org/stable/40916178	2	12	), one is left with the final impression of a long series of modest guesses which somehow are pieced together to fit into a hypothesis.	N	N	TRUE	
http://www.jstor.org/stable/4495968	9	18	For these species the results correlate with pre- diction la of the resource-matching hypothesis.		N	FALSE	N
http://www.jstor.org/stable/40967239	22	28	The results of our study fit the alcohol hypothesis.			TRUE	
http://www.jstor.org/stable/2098491	10	5	To examine this alternative hypothesis we attempted to match each of our industries with data on R & D expenditures and to include this as an additional explanatory variable.		N	FALSE	N
http://www.jstor.org/stable/10.1086/338940	0	418	?P > 0 iff the hypothesis receives more confirmation from matching reports from a single calibrating instrument than from two calibrating instruments.			TRUE	
http://www.jstor.org/stable/ecography.36.8.883	4	34	The habitat filtering and dispersal limitation hypothesis Evaluating the fit of the different hypotheses The heterogeneous Thomas process (representing the We calculated the FDARs and PDARs for the null commu- habitat filtering and dispersal limitation hypothesis) is nities generated from the four parameterized point process slightly more complicated than the homogeneous Thomas models in the same way we calculated them for the actual process.		?	FALSE	
http://www.jstor.org/stable/43700158	10	12	Results from the Sim-3x-Rate data set support this hypothesis, with the recovered species trees always matching the true topology and having higher support values than seen in analyses of the other two simulated data sets (Figs.	?		FALSE	
http://www.jstor.org/stable/154674	3	15	The results of testing the four hypotheses clearly showed that the only model even reasonably fitting the data corresponded to the hypothesis positing that religion and acculturation are independent conditional on the level of dogma- tism; that is, religious affiliation is unrelated to consumer acculturation if we control for the individual's dogmatism score.			TRUE	
http://www.jstor.org/stable/4148061	7	65	"In Search of Golden Rules: Comment on Hypothesis-Testing Approaches to Setting Cutoff Values for Fit Indexes and Dangers in Overgen- eralizing Hu and Bentler's (1999) Findings."	N	N	TRUE	
http://www.jstor.org/stable/10.1086/658070	0	86	Indeed, the wisdom-of-crowds hypothesis hinges on whether bettors predict accurately against inaccurate point spreads, such as those designed to exploit their judgmental tendencies.	N		FALSE	N
http://www.jstor.org/stable/3001957	2	2	In the method which you have used for fit- ting constants the hypothesis is set up that in the sampled population the interaction is neg- ligible (F. Yates.		N	FALSE	N
http://www.jstor.org/stable/3768529	204	6	Evolution of this form is not unambiguously clear from the Khirbet Shema' and Meiron evidence, but we can formulate a hypothesis to fit the data into a framework (fig.			TRUE	
http://www.jstor.org/stable/44815413	5	2	In the social sciences, and especially in sociology (it is different in the biological sciences), one can choose arguments to fit a previously propounded hypothesis.	N	N	TRUE	
http://www.jstor.org/stable/1934926	14	23	A hypothesis fitting many facts is that the present area of A. myrtifolia is a relic of a for- merly more widespread area, possibly encompass- ing most of the present outcrops of the lone geological formation from Oroville on the north to Friant on the south.			TRUE	
http://www.jstor.org/stable/26213865	0	12	Finocchiaro works on the explicit hypothesis that any sort of negative criticism requires an 'accuracy' — by which he seems to mean a full and correct reading of a text — that is not necessary when only praising an idea or author.	N	N	TRUE	
http://www.jstor.org/stable/4220099	2	10	The first null hypothesis is that male density is fit by a Poisson distribution (Pielou, 1974).	?	N	FALSE	N
http://www.jstor.org/stable/2337287	1	3	An alternative approach that is frequently used in practice is to consider the area under the curve as a measure of accuracy, and to compare the tests by evaluating the hypothesis that the area under the curve is the same for each test (Swets & Pickett, 1982).	?	N	FALSE	N
http://www.jstor.org/stable/2367759	1	54	AD has a striking age dependence, which makes age-matching critical for testing the hypothesis that a specific genetic variation leads to increased risk.		N	FALSE	N
http://www.jstor.org/stable/20356989	2	15	Mourant (1954) thought that the sickling gene might eventually be supplanted by a further mutation of the gene responsible for normal haemoglobin, giving rise to a haemoglobin both protective against P. falci parunm malaria and relatively harmless in the homozy gous state, and haemoglobin C would appear to fit this hypothesis.			TRUE	
http://www.jstor.org/stable/23690617	11	1	4 at 10 °C and 25 °C do not fit any of these categories, instead they fit the dimer hypothesis derived earlier.			TRUE	
http://www.jstor.org/stable/687960	19	17	the most predictively accurate hypothesis in F).		?	FALSE	
http://www.jstor.org/stable/10.1017/s0022381608090178	0	175	Model Fitting Model fitting is used as a method of hypothesis testing to determine the relative importance of genetic and environmental influence.		N	FALSE	N
http://www.jstor.org/stable/40963032	0	7	For instance, the observer may see a note having a certain undesirable (or desirable) property, - find the same trait in another note of the same pitch; formulate a hypothesis of systematic error (or accuracy); and validate or refute this theory on subsequent notes.	?	N	FALSE	N
http://www.jstor.org/stable/3109780	8	14	Looking at the lower left-hand corner of the plot, we see that a statistical test at the 5% level of significance would reject the hypothesis of a lognormal fit about 5% of the time.	?	N	FALSE	N
http://www.jstor.org/stable/41411726	10	127	In search of golden rules: comment on hypothesis-testing approaches to setting cutoff values for fit indexes and dangers of overgeneralizing Hu and Bentler's (1999) findings.	N	N	TRUE	
http://www.jstor.org/stable/41783519	6	9	Therefore, we can formulate our next hypothesis: the more organisational-focussed the internal or strategic fit** , the more employees show cooperative behaviour towards their supervisor (hypothesis** 4a) and towards their colleagues (hypothesis 4 b).	N		FALSE	N
http://www.jstor.org/stable/4093778	9	14	The extended full mediation model, which included job characteristics (Hypothesis 2a), did not sig- nificantly fit the data, but when partial mediation was allowed the fit greatly improved, confirming Hypothesis 2b.		N	FALSE	N
http://www.jstor.org/stable/748619	0	3	In their study, Callahan and Passi (1971) tested the hypothesis that re- flective children, identified by Kagan's (1965) Matching Familiar Figures Test, would outperform impulsive youngsters on conservation-of-length tasks.	?	N	FALSE	N
http://www.jstor.org/stable/26593711	1	18	More could probably be said about the reasons why an important hypothesis (Europeanisation without the EU) lost its factual accuracy with time, while becoming * All translations are the author’s, unless otherwise indicated.			TRUE	
http://www.jstor.org/stable/4522159	8	4	According to Renwick's hypothesis, it is quite fitting that such an ineffectual fellow should meet a ludicrous end.		N	FALSE	N
http://www.jstor.org/stable/3565566	5	12	The evo- 10.000 daltons 700 daltons 100- i M.( 80 - , , 0 Cyclotella E_ \ Cy t I I 60, E0 E 40- 20- lution of a common X-intercept for the kinetic lines does not fit the hypothesis of Bell (1983), since Cyclo- tella was not present in this period.			TRUE	
http://www.jstor.org/stable/4039524	0	6	Results: Factor analyses and IRT fit tests supported the hypothesis that the three scales generally measure the same concept and can be cross-calibrated.	?		FALSE	N lub ?
http://www.jstor.org/stable/26794446	18	13	Effect of Income Tax Mentions on Analyst ETR Forecast Accuracy To test our hypothesis, we estimate the change in analyst ETR forecast errors as a 18"		N	FALSE	N
http://www.jstor.org/stable/41057440	45	13	The differential tastes hypothesis does not seem to fit the Kenyan case.			TRUE	
http://www.jstor.org/stable/20203970	21	13	Multidimensional scaling by optimizing goodness of fit to a nonmetric hypothesis.	N	N	TRUE	
http://www.jstor.org/stable/1480321	0	3	Specifically, we posit that retrieval cues enhance recall better within medium than across medium, a "modality match hypothesis."		N	FALSE	N
